mol1_W/R,mol1_li,mol1_lee,mol1_R/R0,mol1_Leff
1e-09,5.5,33.3,1.3626937174208704,4.0361234000621105
1e-09,5.5,3.33,1.4410053789632162,3.8167796458589036
1e-09,5.5,1,1.494363165282745,3.680497570989953
1e-09,5.5,100,1.3521856737759785,4.067488738171031
1e-09,5.5,10,1.3919796544255019,3.9512071764223893
1e-09,5.5,0.333,1.4999169645421178,3.6668696534671135
1e-09,5.5,0.033,1.317872930280063,4.173391738785611
1e-09,5.5,0.0033,1.122215697298253,4.901018594946865
1e-09,5.5,0.001,1.070277799949972,5.1388527354833355
1e-09,5.5,0.1,1.432377775297318,3.8397691550738893
1e-09,5.5,0.01,1.1991581858865157,4.586550852700014
